"parameter","perturbation_pct","arm","V_peak","V_AUC","K_peak","L_peak","C_pro_max","mortality_prob","S_V_peak","S_V_AUC","S_K_peak","S_L_peak","S_C_pro_max","S_mortality"
"c",-50,"placebo",65570648.3692132,773468076.141601,104.087358200808,360.959843700713,0.375334137564336,0.113289009920315,-1.8364947858841,-1.93694943356343,-1.92456713953908,-1.93629729139941,0.00554482120206482,-0.364204021928012
"delta_natural",-50,"placebo",35161010.6823544,451645727.037119,56.4751109145567,195.997881500397,0.386403920876358,0.0980610939597605,-0.0572472211911792,-0.298874955641489,-0.129368718048342,-0.137373293827452,-0.0532779301685023,-0.046415913577093
"delta_NK",-50,"placebo",34182623.0263116,392930662.397523,53.0441598669365,183.401321504815,0.376378018008994,0.0958370325410553,-2.41373028474038e-06,-1.55099774646552e-05,-6.24818067019874e-06,-6.75331921747995e-06,-2.16360567274051e-06,-2.45339400802529e-06
"delta_CD8",-50,"placebo",34360826.2406102,422227019.081268,54.0010893230434,187.051399729995,0.378116413040968,0.0966363676614067,-0.0104289646259703,-0.149133849065095,-0.0360868439726105,-0.0398111617095415,-0.00923966861072301,-0.0166836063825663
"k_CC",-50,"placebo",34182581.7756376,392927615.413801,53.0439941631225,183.400702259659,0.37637735687112,0.0958369149364523,-1.80939965727681e-10,-8.42429156564178e-10,-3.92710331746331e-10,-3.98989062054017e-10,1.34955693170196e-06,8.71198932831614e-10
"K_CC",-50,"placebo",34182581.7718429,392927615.25419,53.0439941517596,183.400702219081,0.376379134905938,0.095836915279906,4.10858240815196e-11,-3.0007138068289e-11,3.57219090573365e-11,4.35200722743875e-11,-8.09858645492725e-06,-6.29626250135732e-09
"d_C",-50,"placebo",34182581.7680163,392927615.305091,53.0440562116052,183.400858241985,0.744737493002262,0.0959223351334967,2.64977823748575e-10,-2.89092397270035e-10,-2.33990291159748e-06,-1.70139930384186e-06,-1.95739529423633,-0.00178261487898016
"k_CD8_I",-50,"placebo",34595126.7772913,470467826.284273,55.1263733652599,191.378412535525,0.38055663350394,0.0976342456857843,-0.0241377323393115,-0.394679366004757,-0.0785151738972742,-0.0869975983270759,-0.0222065422645991,-0.037508108602918
"k_neut_IgG",-50,"placebo",34187461.7542312,393096488.048734,53.0561902173248,183.4451912758,0.376377700936274,0.0958448962066895,-0.000285524464977948,-0.000859561883085384,-0.000459847144343183,-0.000485156841704801,-4.78740734497933e-07,-0.000166558543593539
"k_KP",-50,"placebo",34182581.7725451,392927615.248294,26.619038404397,183.400702223071,0.376377610842627,0.07663838562701,0,0,0.996341100266163,0,0,0.400649986606021
"k_LP",-50,"placebo",34182581.766267,392927615.368584,53.0439941578165,137.508963491038,0.376377610616441,0.0946163887158182,3.67329037557484e-10,-6.12273403368091e-10,-1.92651084375706e-10,0.500453249914114,1.20190944851345e-09,0.0254709004908666
"d_K",-50,"placebo",34182581.7725451,392927615.248294,98.3118599138887,183.400702223071,0.376377610842627,0.109862577027464,0,0,-1.70680456795396,0,0,-0.292698529631425
"d_L",-50,"placebo",34182581.7705185,392927615.256156,53.0439941518224,329.381727257212,0.376377610805667,0.0979427145935683,1.18576036210103e-10,-4.00158885598908e-11,3.33528078941633e-11,-1.5919352899378,1.96399634853122e-10,-0.043945480003159
"EC50_RBV",-50,"placebo",34182581.7725451,392927615.248294,53.043994152707,183.400702223071,0.376377610842627,0.0958369149781989,0,0,0,0,0,0
"Emax_RBV",-50,"placebo",34182581.7725451,392927615.248294,53.043994152707,183.400702223071,0.376377610842627,0.0958369149781989,0,0,0,0,0,0
"CL_RBV",-50,"placebo",34182581.7725451,392927615.248294,53.043994152707,183.400702223071,0.376377610842627,0.0958369149781989,0,0,0,0,0,0
"beta",10,"placebo",34133644.9385153,392953617.700808,52.9203513990944,182.998927943271,0.376048405454078,0.0958531772626894,-0.0143163071635277,0.000661761899756166,-0.0233094727476009,-0.0219069106568653,-0.00874667831097737,0.00169687061548432
"p",10,"placebo",37548025.9782132,432499022.753744,58.1943673399865,201.306331674238,0.376100357541097,0.0986110537104672,0.984549449208413,1.00709153466965,0.970962550906743,0.976311935239351,-0.00736636010069223,0.289464527619597
"c",10,"placebo",31152700.4914015,356825015.3144,48.3500071199999,167.091952749993,0.376336537435028,0.092986034625398,-0.886381637672908,-0.918810450904054,-0.884923374961866,-0.88924138650474,-0.00109128190455686,-0.297472049621937
"delta_natural",10,"placebo",33995486.5231801,382469879.311008,52.4225729712651,181.124445587471,0.374470062836166,0.0954044890831196,-0.0547340896044571,-0.26614917179283,-0.117152034149781,-0.124113845149366,-0.0506817608568812,-0.0451210157565739
"delta_NK",10,"placebo",34182573.5217995,392927005.8294,53.0439610099433,183.400578367056,0.376377529409422,0.095836891465888,-2.41372804842723e-06,-1.5509698751141e-05,-6.2481651771398e-06,-6.7533010679479e-06,-2.16360387368285e-06,-2.45336683483593e-06
